ADD/DEL,COMPANY #,WPS Item #,Sequence,"Explanation/Message (CAPS, 60)",PT/Pick Ticket Program,Invoice Program,Labels,Return Auth/Warranty (X or blank),Order Entry/Customer Service (X or blank),PO Entry,PO Form,MO Entry,MO Form,PO Receiving,WEB,Expiration Date
U,1.0,1001-00-7000,1.0,Form Required For All Warranties Call Wps Customer Service., , , ,X,X, , , , , ,X,99999999.0
U,1.0,1001-00-7102,1.0,Form Required For All Warranties Call Wps Customer Service., , , ,X,X, , , , , ,X,99999999.0
U,1.0,1002-02-0801,1.0,Direct shipped - form required – subject to shipping, , , , ,X, , , , , ,X,99999999.0
U,1.0,1002-02-0801,2.0,Call WPS Customer Service to order, , , , ,X, , , , , ,X,99999999.0
U,1.0,1002-02-0801,3.0,Form required for all warranties, , , ,X,X, , , , , ,X,99999999.0
U,1.0,1002-02-1520,1.0,Direct shipped - form required – subject to shipping, , , , ,X, , , , , ,X,99999999.0
U,1.0,1002-02-1520,2.0,Call WPS Customer Service to order, , , , ,X, , , , , ,X,99999999.0
U,1.0,1002-02-1520,3.0,Form required for all warranties, , , ,X,X, , , , , ,X,99999999.0
U,1.0,1003-05-0999,1.0,Direct shipped - form required – subject to shipping, , , , ,X, , , , , ,X,99999999.0
U,1.0,1003-05-0999,2.0,Call WPS Customer Service to order, , , , ,X, , , , , ,X,99999999.0
U,1.0,1003-05-0999,3.0,Form required for all warranties, , , ,X,X, , , , , ,X,99999999.0
U,1.0,1004-05-0900,1.0,Direct shipped - form required – subject to shipping, , , , ,X, , , , , ,X,99999999.0
U,1.0,1004-05-0900,2.0,Call WPS Customer Service to order, , , , ,X, , , , , ,X,99999999.0
U,1.0,1004-05-0900,3.0,Form required for all warranties, , , ,X,X, , , , , ,X,99999999.0
U,1.0,1016-00-0025,1.0,Form Required For All Warranties Call Wps Customer Service., , , ,X,X, , , , , ,X,99999999.0
U,1.0,1016-00-0200,1.0,Form Required For All Warranties Call Wps Customer Service., , , ,X,X, , , , , ,X,99999999.0
U,1.0,1016-00-1132,1.0,Form Required For All Warranties Call Wps Customer Service., , , ,X,X, , , , , ,X,99999999.0
U,1.0,1016-00-4132,1.0,Form Required For All Warranties Call Wps Customer Service., , , ,X,X, , , , , ,X,99999999.0
U,1.0,1016-00-5001,1.0,Form Required For All Warranties Call Wps Customer Service., , , ,X,X, , , , , ,X,99999999.0
U,1.0,1016-00-5002,1.0,Form Required For All Warranties Call Wps Customer Service., , , ,X,X, , , , , ,X,99999999.0
U,1.0,1016-00-5133,1.0,Form Required For All Warranties Call Wps Customer Service., , , ,X,X, , , , , ,X,99999999.0
U,1.0,1016-00-6001,1.0,Form Required For All Warranties Call Wps Customer Service., , , ,X,X, , , , , ,X,99999999.0
U,1.0,1016-00-6002,1.0,Form Required For All Warranties Call Wps Customer Service., , , ,X,X, , , , , ,X,99999999.0
U,1.0,1017-00-0001,1.0,Form Required For All Warranties Call Wps Customer Service., , , ,X,X, , , , , ,X,99999999.0
U,1.0,1017-00-0009,1.0,Form Required For All Warranties Call Wps Customer Service., , , ,X,X, , , , , ,X,99999999.0
U,1.0,1017-00-0042,1.0,Form Required For All Warranties Call Wps Customer Service., , , ,X,X, , , , , ,X,99999999.0
U,1.0,1017-00-0110,1.0,Form Required For All Warranties Call Wps Customer Service., , , ,X,X, , , , , ,X,99999999.0
U,1.0,1017-00-7011,1.0,Form Required For All Warranties Call Wps Customer Service., , , ,X,X, , , , , ,X,99999999.0
U,1.0,1017-00-7081,1.0,Form Required For All Warranties Call Wps Customer Service., , , ,X,X, , , , , ,X,99999999.0
U,1.0,1024-00-2255,1.0,Form Required For All Warranties Call Wps Customer Service., , , ,X,X, , , , , ,X,99999999.0
U,1.0,1033-AS-0075,1.0,Form Required For All Warranties Call Wps Customer Service., , , ,X,X, , , , , ,X,99999999.0
U,1.0,1085-00-8000,1.0,Form Required For All Warranties Call Wps Customer Service., , , ,X,X, , , , , ,X,99999999.0
U,1.0,1093-00-0001,1.0,Direct shipped - form required – subject to shipping, , , , ,X, , , , , ,X,99999999.0
U,1.0,1093-00-0001,2.0,Call WPS Customer Service to order, , , , ,X, , , , , ,X,99999999.0
U,1.0,1093-00-0001,3.0,Form required for all warranties, , , ,X,X, , , , , ,X,99999999.0
U,1.0,1093-00-0002,1.0,Direct shipped - form required – subject to shipping, , , , ,X, , , , , ,X,99999999.0
U,1.0,1093-00-0002,2.0,Call WPS Customer Service to order, , , , ,X, , , , , ,X,99999999.0
U,1.0,1093-00-0002,3.0,Form required for all warranties, , , ,X,X, , , , , ,X,99999999.0
U,1.0,1093-00-7001,1.0,Direct shipped - form required – subject to shipping, , , , ,X, , , , , ,X,99999999.0
U,1.0,1093-00-7001,2.0,Call WPS Customer Service to order, , , , ,X, , , , , ,X,99999999.0
U,1.0,1093-00-7001,3.0,Form required for all warranties, , , ,X,X, , , , , ,X,99999999.0
