ItemNumber,Vendor Code,Sequence,Explanation,Pick Ticket Program,Invoice Program,Labels,R/A,O/E,P.O. Entry,P.O. Print,M.O. Entry,M.O. Print,P.O. Receiving,Web,Expiration Date,_merge,Company Code
5000-02-0800,5586,2.0,part number., , , , ,X, , , , , , ,99999999.0,left_only,0
54-9270,5569,1.0,this track is also available with center windows punced for, , , , ,X, , , , , ,X,99999999.0,left_only,0
6522-05-0486,5586,1.0,a5 013120 ch, , , , ,X, , , , , , ,99999999.0,left_only,0
5000-02-0801,5586,1.0,this mounting kit requires a stabilizer - see desc 2 for, , , , ,X, , , , , , ,99999999.0,left_only,0
7200-00-9050,5586,1.0,must be ordered with a camso dts track kit., , , , ,X, , , , , , ,99999999.0,left_only,0
54-9794,5569,1.0,this track is clipped every 3rd pitch with the window, , , , ,X, , , , , ,X,99999999.0,left_only,0
5000-02-0800,5586,1.0,this mounting kit requires a stabilizer - see desc 2 for, , , , ,X, , , , , , ,99999999.0,left_only,0
54-9794,5569,2.0,between closed. not pace 3 as noted in 2018 printed catalog., , , , ,X, , , , , ,X,99999999.0,left_only,0
54-9793,5569,1.0,this track is clipped every 3rd pitch with the window, , , , ,X, , , , , ,X,99999999.0,left_only,0
54-9270,5569,2.0,avid anti slip drivers. wps pn 54-9270le. contact avid prod, , , , ,X, , , , , ,X,99999999.0,left_only,0
6522-05-1551,5586,2.0,*this kit fits `18-20 ranger 1000xp `19-20 ranger1000 crew *, , , ,X,X, , , , , ,X,99999999.0,left_only,0
54-9793,5569,2.0,between closed. not pace 3 as noted in 2018 printed catalog., , , , ,X, , , , , ,X,99999999.0,left_only,0
5000-02-0801,5586,2.0,part number., , , , ,X, , , , , , ,99999999.0,left_only,0
6522-05-0486,5586,2.0,*** this kit fits `17 ranger xp and `17-18 ranger crew ***, , , ,X,X, , , , , ,X,99999999.0,left_only,0
54-9270,5569,3.0,for drivers. (866) 666-2843, , , , ,X, , , , , ,X,99999999.0,left_only,0
54-9001,5569,2.0,between closed. not pace 3 as noted in 2018 printed catalog., , , , ,X, , , , , ,X,99999999.0,left_only,0
54-9001,5569,1.0,this track is clipped every 3rd pitch with the window, , , , ,X, , , , , ,X,99999999.0,left_only,0
6522-05-1551,5586,1.0,a5 013120 ch, , , , ,X, , , , , , ,99999999.0,left_only,0
