ADD/DEL,COMPANY #,WPS Item #,Sequence,"Explanation/Message (CAPS, 60)",PT/Pick Ticket Program,Invoice Program,Labels,Return Auth/Warranty (X or blank),Order Entry/Customer Service (X or blank),PO Entry,PO Form,MO Entry,MO Form,PO Receiving,WEB,Expiration Date
U,1.0,421-0448,1.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0
U,1.0,421-0448,2.0,For Warranty Replacement Claims Please Complete, , , ,X, , , , , , , ,99999999.0
U,1.0,421-0448,3.0,Quantum Form Https://Form.Jotform.com/222107032718042, , , ,X, , , , , , , ,99999999.0
U,1.0,421-0448,4.0,Or Call Quantum At (818)574-Fuel (3835), , , ,X, , , , , , , ,99999999.0
U,1.0,421-0448,5.0,Or Email alegere@highflowfuel.com, , , ,X, , , , , , , ,99999999.0
A,1.0,421-0448,6.0,"For Warranty Credit, Contact Wps Customer Service",,,,X,,,,,,,,99999999.0
A,1.0,421-0448,7.0,Dealer Must Provide Date Codes From Pump To Receive Credit,,,,X,,,,,,,,99999999.0
U,1.0,663-1000L,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1000L,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1000R,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1000R,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1003L,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1003L,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1010,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1010,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1011,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1011,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1012,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1012,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1013,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1013,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1014,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1014,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1015,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1015,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1016,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1016,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1017,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1017,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1018,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1018,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1020L,1.0,sold individually, , , ,X,X, , , , , ,X,99999999.0
U,1.0,663-1020L,2.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1020L,3.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1020M,1.0,sold individually, , , ,X,X, , , , , ,X,99999999.0
U,1.0,663-1020M,2.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1020M,3.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1020S,1.0,sold individually, , , ,X,X, , , , , ,X,99999999.0
U,1.0,663-1020S,2.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1020S,3.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1020X,1.0,sold individually, , , ,X,X, , , , , ,X,99999999.0
U,1.0,663-1020X,2.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1020X,3.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1020Y,1.0,sold individually, , , ,X,X, , , , , ,X,99999999.0
U,1.0,663-1020Y,2.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1020Y,3.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1025L,1.0,sold individually, , , ,X,X, , , , , ,X,99999999.0
U,1.0,663-1025L,2.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1025L,3.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1025M,1.0,sold individually, , , ,X,X, , , , , ,X,99999999.0
U,1.0,663-1025M,2.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1025M,3.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1025S,1.0,sold individually, , , ,X,X, , , , , ,X,99999999.0
U,1.0,663-1025S,2.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1025S,3.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1025X,1.0,sold individually, , , ,X,X, , , , , ,X,99999999.0
U,1.0,663-1025X,2.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1025X,3.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1031,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1031,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1032,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1032,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1033,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1033,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1034,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1034,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1035,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1035,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1036,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1036,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1037,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1037,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1038,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1038,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1052L,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1052L,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1053R,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1053R,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1061R,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1061R,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1063R,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1063R,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1064L,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1064L,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1070L,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1070L,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1072L,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1072L,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1074,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1074,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1074L,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1074L,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1074R,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1074R,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1075,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1075,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1075L,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1075L,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1075R,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1075R,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1076,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1076,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1076L,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1076L,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1076R,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1076R,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1077,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1077,2.0,Ph: (262)788-7313 Or Email: ryan@evs-sports.com, , , ,X, , , , , , ,X,99999999.0
U,1.0,663-1077L,1.0,For Warranties Contact EVS, , , ,X, , , , , , ,X,99999999.0
