ItemNumber,Vendor Code,Sequence,Explanation,Pick Ticket Program,Invoice Program,Labels,R/A,O/E,P.O. Entry,P.O. Print,M.O. Entry,M.O. Print,P.O. Receiving,Web,Expiration Date,_merge,Company Code
821-0429,6239,1.0,"will not fit kaw z125 models,", , , ,X,X, , , , , ,X,99999999.0,left_only,0
663-1082R,5660,1.0,also available as pair number 663-1082., , , , ,X, , , , , ,X,99999999.0,left_only,0
821-0423,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0462,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0407,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-1080L,5660,1.0,also available as pair number 663-1080., , , , ,X, , , , , ,X,99999999.0,left_only,0
821-03022,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03055,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0566,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0420,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03031,6239,1.0,"fits vn900 models with 38mm dia. pump, for vn900 with 35mm", , , ,X,X, , , , , ,X,99999999.0,left_only,0
821-0404,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0532,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0449,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-1090L,5660,1.0,also available as pair number 663-1090., , , , ,X, , , , , ,X,99999999.0,left_only,0
821-0435,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03003,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0439,6239,2.0,does not fit 14-18 teryx 800, , , ,X,X, , , , , ,X,99999999.0,left_only,0
821-0438,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03025,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03036,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03047,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03044,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03058,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03069,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0460,6239,7.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0454,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0401,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0446,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0490,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0425,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-1092R,5660,1.0,also available as pair number 663-1092., , , , ,X, , , , , ,X,99999999.0,left_only,0
821-03028,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03039,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-9996,5660,1.0,must go through sale dept. fax qualifying invoice to todd., , , , ,X, , , , , , ,99999999.0,left_only,0
821-0448,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-1083L,5660,1.0,also available as pair number 663-1083., , , , ,X, , , , , ,X,99999999.0,left_only,0
821-0469,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0471,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-1800,5660,1.0,note: this is not the ws91 wrist stabliizer use p/n 663-1801, , , ,X,X, , , , , ,X,99999999.0,left_only,0
821-0445,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0443,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0432,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0427,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0466,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0421,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03040,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0536,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03051,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03062,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0440,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-1340,5660,1.0,this is not black it is a digi style pattern, , , ,X,X, , , , , ,X,99999999.0,left_only,0
821-0429,6239,2.0,no pump available at this time, , , ,X,X, , , , , ,X,99999999.0,left_only,0
821-03053,6239,2.0,"on gl1200, fits carbureted models only", , , ,X,X, , , , , ,X,99999999.0,left_only,0
663-1081L,5660,1.0,also available as pair number 663-1081., , , , ,X, , , , , ,X,99999999.0,left_only,0
821-0474,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0419,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0463,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0464,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03052,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-1025L,5660,1.0,sold individually, , , ,X,X, , , , , ,X,99999999.0,left_only,0
821-03021,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03032,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-2339,5660,2.0,size graphic kit for medium size order 663-2341., , , , ,X, , , , , ,X,99999999.0,left_only,0
821-03043,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-1081R,5660,1.0,also available as pair number 663-1081., , , , ,X, , , , , ,X,99999999.0,left_only,0
821-0415,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03065,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0439,6239,1.0,2019 08-06 bp, , , ,X,X, , , , , , ,99999999.0,left_only,0
663-1093L,5660,1.0,also available as pair number 663-1093., , , , ,X, , , , , ,X,99999999.0,left_only,0
821-03002,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-1091R,5660,1.0,also available as pair number 663-1091., , , , ,X, , , , , ,X,99999999.0,left_only,0
821-03035,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03046,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03057,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03068,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
Z2016112801,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-1082L,5660,1.0,also available as pair number 663-1082., , , , ,X, , , , , ,X,99999999.0,left_only,0
821-0413,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0408,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0402,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0452,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0439,6239,7.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-2340,5660,1.0,evs has individual graphic kits for each size. this is large, , , , ,X, , , , , ,X,99999999.0,left_only,0
821-0465,6239,6.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0447,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0486,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03027,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03038,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03031,6239,2.0,dia. pump use 821-03061, , , ,X,X, , , , , ,X,99999999.0,left_only,0
821-0410,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-1020M,5660,1.0,sold individually, , , ,X,X, , , , , ,X,99999999.0,left_only,0
821-0405,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0444,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03066,6239,1.0,does not fit honda gl 1800 or yamaha bolt models, , , ,X,X, , , , , ,X,99999999.0,left_only,0
821-03000,6239,6.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0428,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-0416,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
821-03066,6239,6.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-1025X,5660,1.0,sold individually, , , ,X,X, , , , , ,X,99999999.0,left_only,0
821-03050,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-1080R,5660,1.0,also available as pair number 663-1080., , , , ,X, , , , , ,X,99999999.0,left_only,0
821-03061,6239,1.0,"fits vn900 models with 35mm dia. pump, for vn900 with 38mm", , , ,X,X, , , , , ,X,99999999.0,left_only,0
821-0441,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
663-2340,5660,2.0,size graphic kit for x-large size order 663-2342., , , , ,X, , , , , ,X,99999999.0,left_only,0
821-0513,6239,5.0,dealer to provide date codes from pump to receive credit, , , ,X, , , , , , , ,99999999.0,left_only,0
